,name,url
150, Mack Ray Edwards   ,https://killer.cloud/serial-killers/show/231/mack-ray-edwards
151, Edward Edwards  Sweetheart Murders ,https://killer.cloud/serial-killers/show/268/edward-edwards
152," Bradley Robert Edwards  Claremont killer, Codename Macro, Bogsy ",https://killer.cloud/serial-killers/show/421/claremont-killer
153," Willem van Eijk  The Beast of Harkstede, Gekke Willempje ",https://killer.cloud/serial-killers/show/299/willem-van-eijk
154, Walter E. Ellis  The Milwaukee North Side Strangler ,https://killer.cloud/serial-killers/show/218/walter-e-ellis
155," Vadim Ershov  The Krasnoyarsk Beast, The Krasnoyarsk Chikatilo, The Maniac with a Diary ",https://killer.cloud/serial-killers/show/633/vadim-ershov
156," Kenneth Erskine  The Stockwell Strangler, the heatwave killer ",https://killer.cloud/serial-killers/show/187/kenneth-erskine
157, Scott Erskine   ,https://killer.cloud/serial-killers/show/388/scott-erskine
158, Francisco Garcia Escalero  The Killer Beggar ,https://killer.cloud/serial-killers/show/113/francisco-garcia-escalero
159, Ramon Escobar  Homeless serial killer ,https://killer.cloud/serial-killers/show/596/ramon-escobar
160, Felipe Espinosa  The Bloody Espinosas ,https://killer.cloud/serial-killers/show/615/felipe-espinosa
161, Gary Charles Evans   ,https://killer.cloud/serial-killers/show/172/gary-c-evans
162," Donald Leroy Evans  Hi Hitler, Heil Hitler ",https://killer.cloud/serial-killers/show/389/donald-leroy-evans
163, Richard Evonitz   ,https://killer.cloud/serial-killers/show/390/richard-evonitz
164, Larry Eyler  The Interstate Killer ,https://killer.cloud/serial-killers/show/37/larry-eyler
165, Christine Falling  Christine Laverne Slaughter ,https://killer.cloud/serial-killers/show/535/christine-falling
166, Lorenzo Fayne   ,https://killer.cloud/serial-killers/show/583/lorenzo-fayne
167," Florencio Fernández  The Argentine Vampire, The Window Vampire ",https://killer.cloud/serial-killers/show/524/florencio-fernandez
168, Marie Fikackova  Marie Schmidl ,https://killer.cloud/serial-killers/show/654/marie-fikackova
169," Pedro Rodrigues Filho  Pedrinho Matador, Killer Petey ",https://killer.cloud/serial-killers/show/3/pedro-rodrigues-filho
170," Albert Fish  Gray Man, Werewolf of Wysteria, The Boogey Man ",https://killer.cloud/serial-killers/show/367/albert-fish
171, Kathleen Folbigg  Australia’s worst serial killer ,https://killer.cloud/serial-killers/show/328/kathleen-folbigg
172, Delano Forbes  the Antigua Vampire Killer ,https://killer.cloud/serial-killers/show/635/delano-forbes
173, Wayne Adam Ford   ,https://killer.cloud/serial-killers/show/318/wayne-adam-ford
174," Michel Fourniret  the Ogre, the Beast of Ardennes ",https://killer.cloud/serial-killers/show/52/michel-fourniret
175," Bobby Jack Fowler  Project E-Pana, the Highway of Tears ",https://killer.cloud/serial-killers/show/645/bobby-jack-fowler
176, Kendall Francois  The Poughkeepsie Killer ,https://killer.cloud/serial-killers/show/168/kendall-francois
177," Lonnie David Franklin  Grim Sleeper, Southside Slayer murders ",https://killer.cloud/serial-killers/show/125/lonnie-david-franklin-jr
178, Joseph Paul Franklin  The Racist Killer ,https://killer.cloud/serial-killers/show/159/joseph-paul-franklin
179," Leonard Fraser  The Rockhampton Rapist, The Bad Seed ",https://killer.cloud/serial-killers/show/308/leonard-fraser
180, Sataro Fukiage  Shinshumaro ,https://killer.cloud/serial-killers/show/203/sataro-fukiage
181, William Patrick Fyfe  The Killer Handyman ,https://killer.cloud/serial-killers/show/259/william-patrick-fyfe
182," John Wayne Gacy  Pogo the Clown, The Killer Clown ",https://killer.cloud/serial-killers/show/16/john-wayne-gacy
183, Irina Gaidamachuk  Satan in a skirt ,https://killer.cloud/serial-killers/show/49/irina-gaidamachuk
184," Gerald Gallego  The Love Slave Killers, The Gallego Sex Slaves Killers ",https://killer.cloud/serial-killers/show/536/gerald-gallego
185," Charlene Gallego  The Love Slave Killers, The Gallego Sex Slaves Killers ",https://killer.cloud/serial-killers/show/537/charlene-gallego
186," Luis Garavito  La Bestia, The Beast ",https://killer.cloud/serial-killers/show/450/luis-garavito
187, Juan Díaz de Garayo  The Fat Extractor ,https://killer.cloud/serial-killers/show/609/juan-diaz-de-garayo
188," Michael Gargiulo  Chiller Killer, Hollywood Ripper ",https://killer.cloud/serial-killers/show/371/michael-gargiulo
189," Carlton Gary  The Stocking Strangler, Steakhouse Bandit ",https://killer.cloud/serial-killers/show/197/carlton-gary
190," Donald Henry Gaskins  Pee Wee, The Meanest Man in America ",https://killer.cloud/serial-killers/show/91/donald-henry-gaskins
191," Guy Georges  The Beast of the Bastille, the killer of eastern Paris ",https://killer.cloud/serial-killers/show/209/guy-georges
192, Hubert Geralds  Englewood Strangler ,https://killer.cloud/serial-killers/show/586/hubert-geralds
193," Janie Lou Gibbs  The Georgian Black Widow, the Black Georgia Peach ",https://killer.cloud/serial-killers/show/283/janie-lou-gibbs
194, William Clyde Gibson   ,https://killer.cloud/serial-killers/show/622/william-clyde-gibson
195, Bertha Gifford  Bertha Alice Graham ,https://killer.cloud/serial-killers/show/362/bertha-gifford
196, Kristen Gilbert  The Angel of Death ,https://killer.cloud/serial-killers/show/538/kristen-gilbert
197, Bernard Giles   ,https://killer.cloud/serial-killers/show/647/bernard-giles
198, Sean Vincent Gillis  The Other Baton Rouge Killer ,https://killer.cloud/serial-killers/show/176/sean-vincent-gillis
199, Lorenzo Gilyard  The Kansas City Strangler ,https://killer.cloud/serial-killers/show/86/lorenzo-gilyard
200, Walter De Giusti  Walter Di Giusti ,https://killer.cloud/serial-killers/show/525/walter-de-giusti
201," Harvey Glatman  The Lonely Hearts Killer, Glamour Girl Slayer ",https://killer.cloud/serial-killers/show/383/harvey-glatman
202," Billy Glaze  Butcher Knife Billy, Jesse Sitting Crow ",https://killer.cloud/serial-killers/show/361/billy-glaze
203, John Wayne Glover  The Granny Killer ,https://killer.cloud/serial-killers/show/223/john-wayne-glover
204," Sean Patrick Goble  Baileyton Truck Stop Murder, The Wild One ",https://killer.cloud/serial-killers/show/502/sean-patrick-goble
205," Cayetano Santos Godino  Petiso Orejudo, the Big-eared Midget ",https://killer.cloud/serial-killers/show/343/cayetano-santos-godino
206, Billy Gohl  Ghoul of Grays Harbor ,https://killer.cloud/serial-killers/show/575/billy-gohl
207," Sergey Golovkin  The Fisher, The Boa ",https://killer.cloud/serial-killers/show/101/sergey-golovkin
208, David Alan Gore  The Killing Cousins ,https://killer.cloud/serial-killers/show/463/david-alan-gore
209, Mark Goudeau  The Baseline Killer ,https://killer.cloud/serial-killers/show/158/mark-goudeau
210, Kwauhuru Govan  murder of Rashawn Brazell ,https://killer.cloud/serial-killers/show/549/kwauhuru-govan
211, Harrison Graham   ,https://killer.cloud/serial-killers/show/184/harrison-graham
212," Gwendolyn Graham  The Lethal Lovers, the Alpine Manor serial killers ",https://killer.cloud/serial-killers/show/547/gwendolyn-graham
213, Shawn Grate   ,https://killer.cloud/serial-killers/show/621/shawn-grate
214, Dana Sue Gray   ,https://killer.cloud/serial-killers/show/411/dana-sue-gray
215, Vaughn Greenwood  Skid Row Slasher ,https://killer.cloud/serial-killers/show/104/vaughn-greenwood
216, Steven Grieveson  Sunderland Strangler ,https://killer.cloud/serial-killers/show/346/steven-grieveson
217," Stephen Griffiths  Crossbow Cannibal, the Bradford murders ",https://killer.cloud/serial-killers/show/363/stephen-griffiths
218," Caroline Grills  Aunty Carrie, Aunt Thally ",https://killer.cloud/serial-killers/show/320/caroline-grills
219, Cayetano Grossi  The Man in the Bag ,https://killer.cloud/serial-killers/show/526/cayetano-grossi
220," Belle Gunness  Hell's Belle, Brynhild Paulsdatter Størseth ",https://killer.cloud/serial-killers/show/79/belle-gunness
221, Boris Gusakov  Student Hunter ,https://killer.cloud/serial-killers/show/301/boris-gusakov
222, Frank Gust  Rhein-Ruhr Ripper ,https://killer.cloud/serial-killers/show/340/frank-gust
